first_recorded,last_extracted,seller_id,shop_name,review_1m,review_3m,review_12m,review_lifetime,shop_url,hidden,remarks
2025/6/8 12:47,2025/6/8 12:47,A25SKYR7H6PDXY,Vantage point,,,,,https://www.amazon.com/sp?seller=A25SKYR7H6PDXY,,
2025/6/8 12:47,2025/6/8 12:47,A3KPXS4FVGCNYX,Japan Big Mall,,,,,https://www.amazon.com/sp?seller=A3KPXS4FVGCNYX,,
2025/6/8 12:47,2025/6/8 12:47,A1LM8ACHW8LBNC,HANAMARUSTORE,,,,,https://www.amazon.com/sp?seller=A1LM8ACHW8LBNC,,
2025/6/8 12:47,2025/6/8 12:47,AWXKLGXITXWKC,KUTO-TEN,,,,,https://www.amazon.com/sp?seller=AWXKLGXITXWKC,,
2025/6/8 12:47,2025/6/8 12:47,A30N1IH1M8GKIM,Hana Hana Shop,,,,,https://www.amazon.com/sp?seller=A30N1IH1M8GKIM,,
2025/6/8 12:47,2025-09-09 13:55:04,A1YNYXK55B0EFS,bowing,,,,,https://www.amazon.com/sp?seller=A1YNYXK55B0EFS,TRUE,撤退
2025/6/8 12:47,2025/6/8 12:47,A3E8QSZK121B8N,JAPAN-FAST.,,,,,https://www.amazon.com/sp?seller=A3E8QSZK121B8N,,
2025/6/8 12:47,2025/6/8 12:47,A31NVUJUDUDBCZ,SHOP SFJ,,,,,https://www.amazon.com/sp?seller=A31NVUJUDUDBCZ,,
2025/6/8 12:47,2025/6/8 12:47,A1D7JHDW9FG7S0,Mikaman Sachs Japan,,,,,https://www.amazon.com/sp?seller=A1D7JHDW9FG7S0,,
2025/6/8 12:47,2025/6/8 12:47,A1RHNBQFQHIEP1,MLCS JAPAN,,,,,https://www.amazon.com/sp?seller=A1RHNBQFQHIEP1,,
2025/6/8 12:47,2025/6/8 12:47,ABENDQPSD7T6R,Leadra,,,,,https://www.amazon.com/sp?seller=ABENDQPSD7T6R,,
2025/6/8 12:47,2025/6/8 12:47,A5EWCCV7Y5K59,MonoLab [ arrive in about 10days by FedEx or DHL ],,,,,https://www.amazon.com/sp?seller=A5EWCCV7Y5K59,,
2025/6/8 12:47,2025-09-16 07:55:15,A24VMYRTI72ZO8,TheToyVault,,,,,https://www.amazon.com/sp?seller=A24VMYRTI72ZO8,TRUE,海外セラー
2025/6/8 12:47,2025/6/8 12:47,A19IND20B4XAD8,Toy Japan USA,,,,,https://www.amazon.com/sp?seller=A19IND20B4XAD8,,
