Datetime (JST),Seller ID,Brand,Price Range,Pages,Platform,Mode,Output Path
2025/06/09 15:42:04,A5PKZIG36GZ7P,Nintendo,100-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 15:42:30,A2UNWZZYZVYWU0,Nintendo,100-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 15:50:59,A5PKZIG36GZ7P,Vessel,100-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 15:51:28,A5PKZIG36GZ7P,Vessel,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 15:55:08,A5PKZIG36GZ7P,Vessel,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 16:04:25,A5PKZIG36GZ7P,Vessel,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 16:15:56,A2UNWZZYZVYWU0,Vessel,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/09 17:58:14,ASOUBI77KWLWI,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/11 12:56:06,ASOUBI77KWLWI,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/12 12:50:16,ASOUBI77KWLWI,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/12 13:04:31,ASOUBI77KWLWI,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/12 13:08:18,ASOUBI77KWLWI,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/12 15:57:25,A2NXGXNI78VM7R,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/12 16:33:56,A2NXGXNI78VM7R,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/17 15:42:12,A2NXGXNI78VM7R,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/17 17:31:51,A2NXGXNI78VM7R,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/17 17:34:30,A2NXGXNI78VM7R,Nintendo,10-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/22 11:08:38,AOWT96446IC50,,100-200,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/06/29 16:14:20,A1PKQVF8702H8E,CANON,20-200,5,simple,au,D:\Dropbox\Amazon_analysis_project\data
