black list,note,data
B000L426ZM,,
B000UE5OGQ,,
B000UE5OH0,,
B000UE5OHK,,
B000UE5OHU,,
B001CKKHHS,,
B001KZ5WA2,,
B001L5K2Q0,,
B001LGVYUW,,
B001LGXAVI,,
B001LH18EI,,
B0024UDJVQ,,
B0024UEGSQ,,
B0024UEH2Q,,
B002C2YCX0,,
B002C2ZVTY,,
B002C305MG,,
B002QMMI14,,
B003CF8ZMU,,
B003Q3VCV4,,
B003TLN8JW,,
B003TLN8K6,,
B003TLN8KG,,
B003TQL254,,
B003TQL268,,
B003TQL272,,
B004YO711Y,,
B00553WVAY,,
B005DP1YCA,,
B005FO5QP0,,
B005J24CMQ,,
B005J24DX4,,
B005KQRCSW,,
B005KQRE0S,,
B005KQRE62,,
B005KQRFWA,,
B005KQRWHS,,
B0064WJ4UK,,
B0065C4K12,,
B0068WXPRE,,
B007SIG826,,
B007WZP18C,,
B0083QL688,,
B00887WRO4,,
B00887WS4S,,
B00887WS7U,,
B00887Y1QQ,,
B00887Y3L4,,
B0088U2TEE,,
B008T7EPXO,,
B0099MXS86,,
B0099MYDN0,,
B0099MYENO,,
B0099RS0PW,,
B00AARHDO4,,
B00AARKUDU,,
B00ABVIOEW,,
B00ANRWWLK,,
B00ANRX1NS,,
B00ANRX232,,
B00ANRX2EG,,
B00ANRX2QE,,
B00ANRX322,,
B00ANRX3FE,,
B00ANRX43A,,
B00B99FYXE,,
B00B99RTQY,,
B00B9A7RR4,,
B00CXE30Z8,,
B00EH8LOWO,,
B00EL3LMRC,,
B00F9TX25W,,
B00FOQ2OP4,,
B00FX4DEEM,,
B00FX4DFXC,,
B00G33DID4,,
B00H0NM81Y,,
B00HYV7ZEM,,
B00I0FINME,,
B00I29IOOA,,
B00I2GX290,,
B00IHVDMXG,,
B00IKYWWY0,,
B00IKYWXQM,,
B00IKYWYU2,,
B00IKYWZIS,,
B00IM4I8IM,,
B00IUA1NTO,,
B00IVD4IMO,,
B00JE8S16E,,
B00JM8IUXU,,
B00K43KM4W,,
B00K43KPX0,,
B00K43KQ2U,,
B00KBCYAWG,,
B00L2VJA1G,,
B00NFH4TQ6,,
B00NFH4TYI,,
B00NNIRMO8,,
B00NNIRMQQ,,
B00NNIRYRI,,
B00PA924D2,,
B00PAM07BA,,
B00QUJL5PO,,
B00QUJL5PY,,
B00RYK7DY0,,
B00SAS1D6E,,
B00UB7XQ4O,,
B00UH99C0S,,
B00UJ1PN66,,
B00UT37OJ8,,
B00V2T952C,,
B00VONU8M2,,
B00VONU8PY,,
B00VONUCUK,,
B00VONUCWS,,
B00VONUDM2,,
B00VP91BJO,,
B00VVA45KY,,
B00W3HQUT8,,
B00ZZLCTF8,,
B012RZB5BS,,
B0156C8MRY,,
B0156C8T2M,,
B0156C8TV8,,
B0156C8UBC,,
B0156C8UIU,,
B0158102B2,,
B0188DKECY,,
B018K41M4K,,
B018K5A8IK,,
B018K5BVEA,,
B018K5DF7Q,,
B018K5FIY4,,
B018KNX0GE,,
B01ASQZDXE,,
B01B02BJ2E,,
B01CB7FOZU,,
B01CB7KHGG,,
B01CBAW2OI,,
B01CBAXUDK,,
B01CBB0PW8,,
B01CBB1JLE,,
B01CBB26GQ,,
B01DDEVPQM,,
B01DDEVVB6,,
B01DDEW3ZO,,
B01DDEW8UO,,
B01DDEWHXM,,
B01DDEWIOA,,
B01FQ77F8Q,,
B01FTG3Q8C,,
B01FTG3QHI,,
B01HR5HS14,,
B01ICMRF96,,
B01LSJGA2I,,
B01LSJGAQO,,
B01LX1SJM3,,
B01LXAOJ8X,,
B01LYLG2L9,,
B06VWWCP2G,,
B06W9KTJDH,,
B06WVD4KTW,,
B06XCYLLQM,,
B06XP6W539,,
B0711TTMCV,,
B072M6VN3Q,,
B075LCLXQ8,,
B076Q9XD1G,,
B078WRGMXF,,
B0797MHY7K,,
B0798B31R4,,
B079JJ135H,,
B079VCMGBL,,
B079VP23JQ,,
B079VQ3LMJ,,
B079Y4MQJQ,,
B079YCYG24,,
B07C5SMR75,,
B07CXSY6N9,,
B07D352ZLN,,
