Datetime (JST),Seller ID,Brand,Price Range,Pages,Platform,Mode,Output Path
2025/05/29 09:25:19,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 09:26:24,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 09:27:13,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:16:52,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:17:31,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:26:45,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:42:02,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:42:31,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 10:52:02,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:00:59,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:07:39,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:17:53,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:20:57,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:21:24,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:26:13,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:27:09,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:30:26,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:31:53,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:32:37,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:37:20,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:42:55,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:45:59,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:49:49,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:55:43,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:56:30,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 11:58:47,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:10:31,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:11:05,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:11:41,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:17:34,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:18:16,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:19:10,ALUPG6M2897Y,Nintendo,70-800,5,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:31:20,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:32:09,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 12:36:47,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:55:53,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:03:10,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:03:58,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:05:05,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data/us
2025/05/29 15:05:41,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:06:58,,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:07:05,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:07:14,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:07:28,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:07:38,A165P864A8QJ3J,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:08:20,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:09:23,ALUPG6M2897Y,Nintendo,70-800,2,simple,us,D:/Dropbox/Amazon_analysis_project/data
